,imdb_rank,Title,Year,Countries,Budget,Cumulative Worldwide Gross,Opening Weekend United States,Rating
1979376,1,Toy Story 4,2019.0,United States,"$200,000,000 (estimated)","$1,065,973,326, 29 Sep 2019","$120,908,065, 23 Jun 2019",8.0
6751668,2,Parasite,2019.0,South Korea,,,,8.5
7131622,3,Once Upon a Time in Hollywood,2019.0,"United States,United Kingdom,China","$90,000,000 (estimated)","$108,138,729, 11 Aug 2019","$41,082,018, 28 Jul 2019",8.0
0107120,4,Hocus Pocus,1993.0,United States,"$28,000,000 (estimated)",,,6.8
1156398,5,Zombieland,2009.0,United States,"$23,600,000 (estimated)","$102,391,540","$24,733,155, 04 Oct 2009",7.6
0101272,6,The Addams Family,1991.0,United States,"$30,000,000 (estimated)","$191,502,426",,6.9
8079248,7,Yesterday,2019.0,"United Kingdom,Russia,China","$26,000,000 (estimated)","$138,886,650, 05 Sep 2019",,6.9
0106220,8,Addams Family Values,1993.0,United States,"$47,000,000 (estimated)",,"$14,117,545, 21 Nov 1993",6.7
0094721,9,Beetlejuice,1988.0,United States,"$15,000,000 (estimated)","$10,846,736","$8,000,000, 03 Apr 1988",7.5
2283336,10,Men in Black: International,2019.0,United States,"$110,000,000 (estimated)","$253,890,701, 06 Oct 2019","$30,035,838, 16 Jun 2019",5.6
1489887,11,Booksmart,2019.0,United States,"$6,000,000 (estimated)",,"$6,933,620, 26 May 2019",7.3
6966692,12,Green Book,2018.0,United States,"$23,000,000 (estimated)","$322,720,649","$5,501,520, 21 Nov 2018",8.2
8695030,13,The Dead Don't Die,2019.0,"Sweden,United States",,"$13,263,605, 18 Jul 2019",,5.5
5463162,14,Deadpool 2,2018.0,United States,"$110,000,000 (estimated)","$785,046,920","$2,683,200, 16 Dec 2018",7.7
0862856,15,Trick 'r Treat,2007.0,United States,,,,6.8
0448115,16,Shazam!,2019.0,"United States,Canada","$100,000,000 (estimated)","$364,293,925, 14 Jul 2019","$53,505,326, 07 Apr 2019",7.1
2139881,17,Long Shot,2019.0,United States,"$40,000,000 (estimated)","$46,514,981, 20 Jun 2019","$9,740,064, 05 May 2019",6.9
3501632,18,Thor: Ragnarok,2017.0,United States,"$180,000,000 (estimated)","$853,977,126","$122,744,989, 05 Nov 2017",7.9
0085794,19,The King of Comedy,1982.0,United States,"$20,000,000 (estimated)",,,7.8
7040874,20,A Simple Favor,2018.0,"Canada,United States","$20,000,000 (estimated)","$97,644,617, 22 Nov 2018",,6.8
