,Role,Name,Movie,gender
1,writer,Brian Lynch,5113040,male
2,director,Chris Renaud,5113040,mostly_male
3,director,Jonathan del Val,5113040,male
4,actor,Patton Oswalt,5113040,unknown
5,actor,Kevin Hart,5113040,male
6,actor,Harrison Ford,5113040,male
7,writer,Brian Duffield,4225622,male
8,director,McG,4225622,unknown
9,actor,Judah Lewis,4225622,male
10,actor,Samara Weaving,4225622,female
11,actor,Robbie Amell,4225622,male
12,writer,Charles Addams,0101272,male
13,writer,Caroline Thompson,0101272,female
14,writer,Larry Wilson,0101272,male
15,director,Barry Sonnenfeld,0101272,male
16,actor,Anjelica Huston,0101272,unknown
17,actor,Raul Julia,0101272,male
18,actor,Christopher Lloyd,0101272,male
19,writer,Rosalind Wiseman,0377092,female
20,writer,Tina Fey,0377092,female
21,director,Mark Waters,0377092,male
22,actor,Lindsay Lohan,0377092,mostly_female
23,actor,Rachel McAdams,0377092,female
24,actor,Tina Fey,0377092,female
25,writer,Seth Rogen,0829482,male
26,writer,Evan Goldberg,0829482,male
27,director,Greg Mottola,0829482,male
28,actor,Jonah Hill,0829482,male
29,actor,Michael Cera,0829482,male
30,actor,Christopher Mintz-Plasse,0829482,male
31,writer,Lowell Cunningham,0119654,male
32,writer,Ed Solomon,0119654,male
33,writer,Ed Solomon,0119654,male
34,director,Barry Sonnenfeld,0119654,male
35,actor,Tommy Lee Jones,0119654,male
36,actor,Will Smith,0119654,mostly_male
37,actor,Linda Fiorentino,0119654,female
38,writer,Richard Linklater,0106677,male
39,director,Richard Linklater,0106677,male
40,actor,Jason London,0106677,male
41,actor,Joey Lauren Adams,0106677,male
42,actor,Milla Jovovich,0106677,female
43,writer,Christopher Landon,8155288,male
44,writer,Scott Lobdell,8155288,male
45,director,Christopher Landon,8155288,male
46,actor,Jessica Rothe,8155288,female
47,actor,Israel Broussard,8155288,male
48,actor,Phi Vu,8155288,mostly_male
49,writer,Tom S. Parker,0109813,male
50,writer,Jim Jennewein,0109813,male
51,writer,Steven E. de Souza,0109813,male
52,director,Brian Levant,0109813,male
53,actor,John Goodman,0109813,male
54,actor,Elizabeth Perkins,0109813,female
55,actor,Rick Moranis,0109813,male
56,writer,Michael Dougherty,0862856,male
57,director,Michael Dougherty,0862856,male
58,actor,Dylan Baker,0862856,mostly_male
59,actor,Rochelle Aytes,0862856,female
60,actor,Quinn Lord,0862856,mostly_male
61,writer,Emily Halpern,1489887,female
62,writer,Sarah Haskins,1489887,female
63,writer,Susanna Fogel,1489887,female
64,writer,Katie Silberman,1489887,female
65,director,Olivia Wilde,1489887,female
66,actor,Kaitlyn Dever,1489887,female
67,actor,Beanie Feldstein,1489887,unknown
68,actor,Jessica Williams,1489887,female
69,writer,Justin Theroux,0942385,male
70,writer,Ben Stiller,0942385,male
71,writer,Etan Cohen,0942385,unknown
72,writer,Ben Stiller,0942385,male
73,writer,Justin Theroux,0942385,male
74,director,Ben Stiller,0942385,male
75,actor,Jeff Kahn,0942385,male
76,actor,Robert Downey Jr.,0942385,male
77,actor,Anthony Ruivivar,0942385,male
78,writer,Harold Ramis,0077975,male
79,writer,Douglas Kenney,0077975,male
80,writer,Chris Miller,0077975,mostly_male
81,director,John Landis,0077975,male
82,actor,Tom Hulce,0077975,male
83,actor,Stephen Furst,0077975,male
84,actor,Mark Metcalf,0077975,male
85,writer,Jane Goldman,2802144,female
86,writer,Matthew Vaughn,2802144,male
87,writer,Mark Millar,2802144,male
88,writer,Dave Gibbons,2802144,male
89,director,Matthew Vaughn,2802144,male
90,actor,Adrian Quinton,2802144,male
91,actor,Colin Firth,2802144,male
92,actor,Mark Strong,2802144,male
93,writer,John Lasseter,0114709,male
94,writer,Pete Docter,0114709,male
95,writer,Andrew Stanton,0114709,male
96,writer,Joe Ranft,0114709,male
97,writer,Joss Whedon,0114709,male
98,writer,Andrew Stanton,0114709,male
99,writer,Joel Cohen,0114709,male
100,writer,Alec Sokolow,0114709,male
101,director,John Lasseter,0114709,male
102,actor,Tom Hanks,0114709,male
103,actor,Tim Allen,0114709,male
104,actor,Don Rickles,0114709,male
105,writer,Dan Sterling,2139881,male
106,writer,Liz Hannah,2139881,female
107,writer,Dan Sterling,2139881,male
108,director,Jonathan Levine,2139881,male
109,actor,Charlize Theron,2139881,female
110,actor,Seth Rogen,2139881,male
111,actor,June Diane Raphael,2139881,female
112,writer,Darcey Bell,7040874,unknown
113,writer,Jessica Sharzer,7040874,female
114,director,Paul Feig,7040874,male
115,actor,Anna Kendrick,7040874,female
116,actor,Ian Ho,7040874,male
117,actor,Joshua Satine,7040874,male
118,writer,Matt Holloway,2283336,male
119,writer,Art Marcum,2283336,male
120,writer,Lowell Cunningham,2283336,male
121,director,F. Gary Gray,2283336,unknown
122,actor,Chris Hemsworth,2283336,mostly_male
123,actor,Tessa Thompson,2283336,female
124,actor,Kumail Nanjiani,2283336,unknown
125,writer,James Gunn,2015381,male
126,writer,Nicole Perlman,2015381,female
127,writer,Dan Abnett,2015381,male
128,writer,Andy Lanning,2015381,male
129,writer,Bill Mantlo,2015381,male
130,writer,Keith Giffen,2015381,male
131,writer,Jim Starlin,2015381,male
132,writer,Steve Englehart,2015381,male
133,writer,Steve Gan,2015381,male
134,writer,Steve Gerber,2015381,male
135,writer,Val Mayerik,2015381,mostly_female
136,director,James Gunn,2015381,male
137,actor,Chris Pratt,2015381,mostly_male
138,actor,Zoe Saldana,2015381,female
139,actor,Dave Bautista,2015381,male
140,writer,Paul Thomas Anderson,1791528,male
141,writer,Thomas Pynchon,1791528,male
142,director,Paul Thomas Anderson,1791528,male
143,actor,Joanna Newsom,1791528,female
144,actor,Katherine Waterston,1791528,female
145,actor,Joaquin Phoenix,1791528,unknown
146,writer,Henry Gayden,0448115,male
147,writer,Henry Gayden,0448115,male
148,writer,Darren Lemke,0448115,male
149,writer,Bill Parker,0448115,male
150,writer,C.C. Beck,0448115,unknown
151,director,David F. Sandberg,0448115,male
152,actor,Zachary Levi,0448115,male
153,actor,Mark Strong,0448115,male
154,actor,Asher Angel,0448115,male
155,writer,Jack Barth,8079248,male
156,writer,Richard Curtis,8079248,male
157,writer,Richard Curtis,8079248,male
158,director,Danny Boyle,8079248,male
159,actor,Himesh Patel,8079248,unknown
160,actor,Lily James,8079248,female
161,actor,Sophia Di Martino,8079248,female
162,writer,James Gunn,0267913,male
163,writer,Craig Titley,0267913,male
164,writer,James Gunn,0267913,male
165,writer,William Hanna,0267913,male
166,writer,Joseph Barbera,0267913,male
167,director,Raja Gosnell,0267913,mostly_male
168,actor,Freddie Prinze Jr.,0267913,mostly_male
169,actor,Sarah Michelle Gellar,0267913,female
170,actor,Matthew Lillard,0267913,male
171,writer,Kevin Smith,0261392,male
172,writer,Kevin Smith,0261392,male
173,director,Kevin Smith,0261392,male
174,actor,Jason Mewes,0261392,male
175,actor,Kevin Smith,0261392,male
176,actor,Ben Affleck,0261392,male
177,writer,Abby Kohn,1001508,female
178,writer,Marc Silverstein,1001508,male
179,writer,Greg Behrendt,1001508,male
180,writer,Liz Tuccillo,1001508,female
181,director,Ken Kwapis,1001508,male
182,actor,Morgan Lily,1001508,mostly_male
183,actor,Trenton Rogers,1001508,male
184,actor,Michelle Carmichael,1001508,female
185,writer,John Lasseter,1979376,male
186,writer,Andrew Stanton,1979376,male
187,writer,Josh Cooley,1979376,male
188,writer,Valerie LaPointe,1979376,female
189,writer,Rashida Jones,1979376,female
190,writer,Will McCormack,1979376,mostly_male
191,writer,Martin Hynes,1979376,male
192,writer,Stephany Folsom,1979376,female
193,writer,Andrew Stanton,1979376,male
194,writer,Stephany Folsom,1979376,female
195,director,Josh Cooley,1979376,male
196,actor,Tom Hanks,1979376,male
197,actor,Tim Allen,1979376,male
198,actor,Annie Potts,1979376,female
199,writer,Simon Pegg,0365748,male
200,writer,Edgar Wright,0365748,male
201,director,Edgar Wright,0365748,male
202,actor,Simon Pegg,0365748,male
203,actor,Kate Ashfield,0365748,female
204,actor,Nick Frost,0365748,male
205,writer,Jacques Audiard,4971344,male
206,writer,Thomas Bidegain,4971344,male
207,writer,Patrick DeWitt,4971344,male
208,director,Jacques Audiard,4971344,male
209,actor,John C. Reilly,4971344,male
210,actor,Joaquin Phoenix,4971344,unknown
211,actor,Jake Gyllenhaal,4971344,male
212,writer,Richard O'Brien,0073629,male
213,writer,Jim Sharman,0073629,male
214,writer,Richard O'Brien,0073629,male
215,director,Jim Sharman,0073629,male
216,actor,Tim Curry,0073629,male
217,actor,Susan Sarandon,0073629,female
218,actor,Barry Bostwick,0073629,male
219,writer,Michael Bacall,0446029,male
220,writer,Edgar Wright,0446029,male
221,writer,Bryan Lee O'Malley,0446029,male
222,director,Edgar Wright,0446029,male
223,actor,Michael Cera,0446029,male
224,actor,Kieran Culkin,0446029,male
225,actor,Anna Kendrick,0446029,female
226,writer,Amy Heckerling,0112697,female
227,director,Amy Heckerling,0112697,female
228,actor,Alicia Silverstone,0112697,female
229,actor,Stacey Dash,0112697,mostly_female
