,imdb_rank,Title,Year,Countries,Budget,Opening Weekend United States,Rating,Cumulative Worldwide Gross
1560220,1,Zombieland: Double Tap,2019.0,United States,"$42,000,000 (estimated)","$26,803,104, 20 Oct 2019",7.3,
6524350,2,Big Mouth,2017.0,United States,,,8.0,
6673612,3,Dolittle,2020.0,United States,,,,
6487482,4,Insatiable,2018.0,United States,,,6.6,
1620981,5,The Addams Family,2019.0,"United Kingdom,Canada,United States","$40,000,000 (estimated)",,5.9,
5503686,6,Hustlers,2019.0,United States,"$20,000,000 (estimated)","$33,181,361, 15 Sep 2019",6.6,"$95,353,967, 29 Sep 2019"
7971476,7,The Politician,2019.0,United States,,,7.6,
6521876,8,Jay and Silent Bob Reboot,2019.0,United States,,,7.6,
1979376,9,Toy Story 4,2019.0,United States,"$200,000,000 (estimated)","$120,908,065, 23 Jun 2019",8.0,"$1,065,973,326, 29 Sep 2019"
6751668,10,Parasite,2019.0,South Korea,,,8.5,
5033998,11,Charlie's Angels,2019.0,United States,,,,
7131622,12,Once Upon a Time in Hollywood,2019.0,"United States,United Kingdom,China","$90,000,000 (estimated)","$41,082,018, 28 Jul 2019",8.0,"$108,138,729, 11 Aug 2019"
0108778,13,Friends,1994.0,United States,,,8.9,
1190634,14,The Boys,2019.0,United States,,,8.8,
8634332,15,The Righteous Gemstones,2019.0,United States,,,8.1,
0107120,16,Hocus Pocus,1993.0,United States,"$28,000,000 (estimated)",,6.8,
2584384,17,Jojo Rabbit,2019.0,"Czech Republic,New Zealand",,,7.5,
1156398,18,Zombieland,2009.0,United States,"$23,600,000 (estimated)","$24,733,155, 04 Oct 2009",7.6,"$102,391,540"
8880894,19,Living with Yourself,2019.0,United States,,,7.5,
5865326,20,The Laundromat,2019.0,United States,,,6.3,
5555260,21,This Is Us,2016.0,United States,,,8.7,
0386676,22,The Office,2005.0,United States,,,8.8,
3526078,23,Schitt's Creek,2015.0,"Canada,United States",,,8.3,
4520988,24,Frozen II,2019.0,United States,,,,
4647692,25,Letterkenny,2016.0,Canada,,,8.7,
4955642,26,The Good Place,2016.0,United States,,,8.1,
1586680,27,Shameless,2011.0,United States,,,8.6,
8543390,28,Modern Love,2019.0,United States,,,8.1,
0121955,29,South Park,1997.0,United States,,,8.7,
5687612,30,Fleabag,2016.0,United Kingdom,,,8.7,
5788792,31,The Marvelous Mrs. Maisel,2017.0,United States,,,8.8,
1632701,32,Suits,2011.0,United States,,,8.5,
2467372,33,Brooklyn Nine-Nine,2013.0,United States,,,8.4,
0898266,34,The Big Bang Theory,2007.0,United States,,,8.1,
0101272,35,The Addams Family,1991.0,United States,"$30,000,000 (estimated)",,6.9,"$191,502,426"
2891574,36,Ballers,2015.0,United States,,,7.6,
9354944,37,Jexi,2019.0,United States,,,6.7,
0472954,38,It's Always Sunny in Philadelphia,2005.0,United States,,,8.8,
8079248,39,Yesterday,2019.0,"United Kingdom,Russia,China","$26,000,000 (estimated)",,6.9,"$138,886,650, 05 Sep 2019"
7734218,40,Stuber,2019.0,United States,,"$8,225,384, 14 Jul 2019",6.2,"$31,870,226, 29 Aug 2019"
1442437,41,Modern Family,2009.0,United States,,,8.4,
6324278,42,Abominable,2019.0,"China,United States","$75,000,000 (estimated)",,7.1,
7587890,43,The Rookie,2018.0,United States,,,8.0,
9054904,44,Why Women Kill,2019.0,United States,,,8.2,
