,Role,Name,Movie,gender
1,writer,Dave Callaham,1560220,male
2,writer,Rhett Reese,1560220,male
3,writer,Paul Wernick,1560220,male
4,director,Ruben Fleischer,1560220,male
5,actor,Woody Harrelson,1560220,male
6,actor,Jesse Eisenberg,1560220,male
7,actor,Emma Stone,1560220,female
8,actor,Nick Kroll,6524350,male
9,actor,John Mulaney,6524350,male
10,actor,Jessi Klein,6524350,mostly_female
11,writer,Stephen Gaghan,6673612,male
12,writer,Hugh Lofting,6673612,male
13,writer,Chris McKay,6673612,mostly_male
14,writer,Thomas Shepherd,6673612,male
15,writer,John Whittington,6673612,male
16,director,Stephen Gaghan,6673612,male
17,actor,Robert Downey Jr.,6673612,male
18,actor,Tom Holland,6673612,male
19,actor,Michael Sheen,6673612,male
20,actor,Dallas Roberts,6487482,mostly_male
21,actor,Debby Ryan,6487482,female
22,actor,Christopher Gorham,6487482,male
23,writer,Matt Lieberman,1620981,male
24,writer,Charles Addams,1620981,male
25,writer,Conrad Vernon,1620981,male
26,writer,Pamela Pettler,1620981,female
27,writer,Matt Lieberman,1620981,male
28,writer,Erica Rivinoja,1620981,female
29,director,Greg Tiernan,1620981,male
30,director,Conrad Vernon,1620981,male
31,actor,Oscar Isaac,1620981,male
32,actor,Charlize Theron,1620981,female
33,actor,Chloë Grace Moretz,1620981,unknown
34,writer,Jessica Pressler,5503686,female
35,writer,Lorene Scafaria,5503686,female
36,director,Lorene Scafaria,5503686,female
37,actor,Constance Wu,5503686,female
38,actor,Jennifer Lopez,5503686,female
39,actor,Julia Stiles,5503686,female
40,actor,Ben Platt,7971476,male
41,actor,Zoey Deutch,7971476,female
42,actor,Lucy Boynton,7971476,female
43,writer,Kevin Smith,6521876,male
44,director,Kevin Smith,6521876,male
45,actor,Melissa Benoist,6521876,female
46,actor,Kevin Smith,6521876,male
47,actor,Chris Hemsworth,6521876,mostly_male
48,writer,John Lasseter,1979376,male
49,writer,Andrew Stanton,1979376,male
50,writer,Josh Cooley,1979376,male
51,writer,Valerie LaPointe,1979376,female
52,writer,Rashida Jones,1979376,female
53,writer,Will McCormack,1979376,mostly_male
54,writer,Martin Hynes,1979376,male
55,writer,Stephany Folsom,1979376,female
56,writer,Andrew Stanton,1979376,male
57,writer,Stephany Folsom,1979376,female
58,director,Josh Cooley,1979376,male
59,actor,Tom Hanks,1979376,male
60,actor,Tim Allen,1979376,male
61,actor,Annie Potts,1979376,female
62,writer,Jin Won Han,6751668,female
63,writer,Bong Joon Ho,6751668,andy
64,director,Bong Joon Ho,6751668,andy
65,actor,Kang-ho Song,6751668,unknown
66,actor,Yeo-jeong Jo,6751668,unknown
67,actor,So-dam Park,6751668,unknown
68,writer,Elizabeth Banks,5033998,female
69,writer,Evan Spiliotopoulos,5033998,male
70,writer,David Auburn,5033998,male
71,writer,Carlo Bernard,5033998,male
72,writer,Semi Chellas,5033998,unknown
73,writer,Ivan Goff,5033998,male
74,writer,Craig Mazin,5033998,male
75,writer,Ben Roberts,5033998,male
76,writer,Doug Miro,5033998,male
77,writer,Jay Basu,5033998,male
78,director,Elizabeth Banks,5033998,female
79,actor,Naomi Scott,5033998,female
80,actor,Sam Claflin,5033998,mostly_male
81,actor,Kristen Stewart,5033998,female
82,writer,Quentin Tarantino,7131622,male
83,director,Quentin Tarantino,7131622,male
84,actor,Leonardo DiCaprio,7131622,male
85,actor,Brad Pitt,7131622,male
86,actor,Margot Robbie,7131622,female
87,actor,Jennifer Aniston,0108778,female
88,actor,Courteney Cox,0108778,mostly_female
89,actor,Lisa Kudrow,0108778,female
90,actor,Karl Urban,1190634,male
91,actor,Jack Quaid,1190634,male
92,actor,Antony Starr,1190634,male
93,actor,John Goodman,8634332,male
94,actor,Danny McBride,8634332,male
95,actor,Adam Devine,8634332,male
96,writer,David Kirschner,0107120,male
97,writer,Mick Garris,0107120,male
98,writer,Mick Garris,0107120,male
99,writer,Neil Cuthbert,0107120,male
100,director,Kenny Ortega,0107120,male
101,actor,Bette Midler,0107120,female
102,actor,Sarah Jessica Parker,0107120,female
103,actor,Kathy Najimy,0107120,female
104,writer,Christine Leunens,2584384,female
105,writer,Taika Waititi,2584384,unknown
106,director,Taika Waititi,2584384,unknown
107,actor,Roman Griffin Davis,2584384,male
108,actor,Thomasin McKenzie,2584384,unknown
109,actor,Scarlett Johansson,2584384,female
110,writer,Rhett Reese,1156398,male
111,writer,Paul Wernick,1156398,male
112,director,Ruben Fleischer,1156398,male
113,actor,Jesse Eisenberg,1156398,male
114,actor,Woody Harrelson,1156398,male
115,actor,Emma Stone,1156398,female
116,actor,Paul Rudd,8880894,male
117,actor,Aisling Bea,8880894,female
118,actor,Alia Shawkat,8880894,female
119,writer,Jake Bernstein,5865326,male
120,writer,Scott Z. Burns,5865326,male
121,director,Steven Soderbergh,5865326,male
122,actor,Gary Oldman,5865326,male
123,actor,Antonio Banderas,5865326,male
124,actor,AJ Meijer,5865326,unknown
125,actor,Milo Ventimiglia,5555260,male
126,actor,Mandy Moore,5555260,female
127,actor,Sterling K. Brown,5555260,male
128,actor,Rainn Wilson,0386676,unknown
129,actor,John Krasinski,0386676,male
